0,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110
8823,ENG 101,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,19,35,,2,120,0,,,,
8824,ENG 101,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,19,Validated,,,,,,,,
8825,FRE 101,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,19,42,,2,108,0,,,,
8826,FRE 101,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,19,Validated,,,,,,,,
8827,INS 201,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,18,51,,3,183,0,,,,
8828,INS 201,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
8829,LAW 201,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,15,35,,1,69,0,,,,
8830,LAW 201,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
8831,LAW 202,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,15,50,13,1,0,0,,,,
8832,LAW 202,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
8833,MGS 201,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,20,50,,3,150,0,,,,
8834,MGS 201,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8835,MGS 202,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,19,40,35.4,3,0,0,,,,
8836,MGS 202,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,19,Validated,,,,,,,,
8837,MGS 204,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,12,42,21.6,2,0,0,,,,
8838,MGS 204,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,12,Validated,,,,,,,,
8839,MGS 206,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,12,44,33.6,3,0,0,,,,
8840,MGS 206,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,12,Validated,,,,,,,,
8841,MGT 204,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,14,38,20.8,2,0,0,,,,
8842,MGT 204,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
8843,MKG 201,HIMS/04/13/0010,MANAGEMENT,200,1,2013/2014,15,50,,3,210,0,,,,
8844,MKG 201,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
8845,MKGS 202,HIMS/04/13/0010,MANAGEMENT,200,2,2013/2014,13,54,40.2,3,0,0,,,,
8846,MKGS 202,HIMS/04/13/0010,MANAGEMENT,200,,2013/2014,13,Validated,,,,,,,,
8847,MGS 305,HIMS/04/13/0010,MANAGEMENT,300,1,2014/2015,17,,,,0,,,,,
8848,MGS 306,HIMS/04/13/0010,MANAGEMENT,300,1,2014/2015,18.5,,,,0,,,,,
8849,MGS 302,HIMS/04/13/0010,MANAGEMENT,300,1,2014/2015,4,,,,0,,,,,
8850,ACY 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,18,58,,3,201,0,,,,
8851,ACY 201,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
8852,BNF 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,20,28,,3,228,0,,,,
8853,BNF 201,HIMS/04/13/0013,MANAGEMENT,200,3,2013/2014,20,,12,3,,,,,,
8854,CSC 202,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,21,44,26,2,0,0,,,,
8855,CSC 202,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,21,Validated,,,,,,,,
8856,ECN 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,17,29,,3,144,0,,,,
8857,ECN 201,HIMS/04/13/0013,MANAGEMENT,200,3,2013/2014,17,57,44.4,3,,,,,,
8858,ECN 203,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,20,49,,3,138,0,,,,
8859,ECN 203,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8860,ECN 206,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,15,44,35.4,3,0,0,,,,
8861,ECN 206,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
8862,ENG 101,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,15,48,,2,138,0,,,,
8863,ENG 101,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
8864,FRE 101,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,19,47,,2,126,0,,,,
8865,FRE 101,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,19,Validated,,,,,,,,
8866,INS 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,21,51,,3,198,0,,,,
8867,INS 201,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,21,Validated,,,,,,,,
8868,LAW 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,22,54,,1,72,0,,,,
8869,LAW 201,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,22,Validated,,,,,,,,
8870,LAW 202,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,19.5,34,10.7,1,0,0,,,,
8871,LAW 202,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,19.5,Validated,,,,,,,,
8872,MGS 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,17,54,,3,228,0,,,,
8873,MGS 201,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,17,Validated,,,,,,,,
8874,MGS 202,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,7,61,40.8,3,0,0,,,,
8875,MGS 202,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,7,Validated,,,,,,,,
8876,MGS 204,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,20,52,28.8,2,0,0,,,,
8877,MGS 204,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8878,MGS 206,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,11,42,31.8,3,0,0,,,,
8879,MGS 206,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,11,Validated,,,,,,,,
8880,MGT 204,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,18,37,22,2,0,0,,,,
8881,MGT 204,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
8882,MKG 201,HIMS/04/13/0013,MANAGEMENT,200,1,2013/2014,13,34,,3,213,0,,,,
8883,MKG 201,HIMS/04/13/0013,MANAGEMENT,200,3,2013/2014,13,40,28.8,3,,,,,,
8884,MKGS 202,HIMS/04/13/0013,MANAGEMENT,200,2,2013/2014,20,44,38.4,3,0,0,,,,
8885,MKGS 202,HIMS/04/13/0013,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8886,MGS 305,HIMS/04/13/0013,MANAGEMENT,300,1,2014/2015,18,,,,0,,,,,
8887,MGS 306,HIMS/04/13/0013,MANAGEMENT,300,1,2014/2015,,,,,0,,,,,
8888,MGS 302,HIMS/04/13/0013,MANAGEMENT,300,1,2014/2015,4,,,,0,,,,,
8889,ACY 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,192,0,,,,
8890,BNF 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8891,CSC 202,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8892,ECN 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8893,ECN 203,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8894,ECN 206,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8895,ENG 101,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,15,44,,2,0,0,,,,
8896,FRE 101,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,2,118,0,,,,
8897,INS 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8898,LAW 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,1,0,0,,,,
8899,LAW 202,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,1,0,0,,,,
8900,MGS 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8901,MGS 202,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8902,MGS 204,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8903,MGS 206,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,0,,0,3,0,0,,,,
8904,MGT 204,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8905,MKG 201,HIMS/04/13/0018,MANAGEMENT,200,1,2013/2014,14,,,3,0,0,,,,
8906,MKGS 202,HIMS/04/13/0018,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8907,MGS 305,HIMS/04/13/0018,MANAGEMENT,300,1,2014/2015,,,,,0,,,,,
8908,MGS 306,HIMS/04/13/0018,MANAGEMENT,300,1,2014/2015,,,,,0,,,,,
8909,MGS 302,HIMS/04/13/0018,MANAGEMENT,300,1,2014/2015,,,,,0,,,,,
8910,ACY 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,3,0,0,,,,
8911,BNF 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,3,0,0,,,,
8912,CSC 202,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8913,ECN 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,31,18.6,3,174,0,,,,
8914,ECN 203,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,3,93,0,,,,
8915,ECN 206,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8916,ENG 101,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,2,0,0,,,,
8917,FRE 101,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,17,41,23.2,2,0,0,,,,
8918,INS 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,17,41,34.8,3,0,0,,,,
8919,LAW 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,1,58,0,,,,
8920,LAW 202,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,1,0,0,,,,
8921,MGS 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,,,0,3,0,0,,,,
8922,MGS 202,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8923,MGS 204,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8924,MGS 206,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,0,,0,3,0,0,,,,
8925,MGT 204,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8926,MKG 201,HIMS/04/13/0021,MANAGEMENT,200,1,2013/2014,18,38,33.6,3,0,0,,,,
8927,MKGS 202,HIMS/04/13/0021,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8928,ACY 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8929,BNF 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8930,CSC 202,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8931,ECN 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,3,0,0,,,,
8932,ECN 203,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,12,,,3,0,0,,,,
8933,ECN 206,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8934,ENG 101,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,2,24,0,,,,
8935,FRE 101,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,8,48,,2,0,0,,,,
8936,INS 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,3,168,0,,,,
8937,LAW 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,,,F,1,0,0,,,,
8938,LAW 202,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,1,0,0,,,,
8939,MGS 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,9,,,3,0,0,,,,
8940,MGS 202,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,15,47,37.2,3,0,0,,,,
8941,MGS 204,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8942,MGS 206,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,0,,0,3,0,0,,,,
8943,MGT 204,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,2,0,0,,,,
8944,MKG 201,HIMS/04/13/0025,MANAGEMENT,200,1,2013/2014,13,,,3,27,0,,,,
8945,MKGS 202,HIMS/04/13/0025,MANAGEMENT,200,2,2013/2014,,,0,3,0,0,,,,
8946,ACY 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,14,34,28.8,3,0,0,,,,
8947,ACY 201,HIMS/04/13/0026,MANAGEMENT,200,3,2013/2014,14,35,20.4,3,,,,,,
8948,BNF 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,24,39,37.8,3,144,0,,,,
8949,BNF 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,24,Validated,,,,,,,,
8950,CSC 202,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,20,40,24,2,0,0,,,,
8951,CSC 202,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8952,ECN 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,14,38,31.2,3,189,0,,,,
8953,ECN 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
8954,ECN 203,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,8,33,24.6,3,156,0,,,,
8955,ECN 203,HIMS/04/13/0026,MANAGEMENT,200,3,2013/2014,8,40,19.8,3,,,,,,
8956,ECN 206,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,4,25,17.4,3,0,0,,,,
8957,ECN 206,HIMS/04/13/0026,MANAGEMENT,200,3,2013/2014,4,40,20.4,3,,,,,,
8958,ENG 101,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,17,37,21.6,2,82,0,,,,
8959,ENG 101,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,17,Validated,,,,,,,,
8960,FRE 101,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,17,51,27.2,2,108,0,,,,
8961,FRE 101,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,17,Validated,,,,,,,,
8962,INS 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,20,43,37.8,3,204,0,,,,
8963,INS 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8964,LAW 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,13,39,10.4,1,63,0,,,,
8965,LAW 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,13,Validated,,,,,,,,
8966,LAW 202,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,18,42,12,1,0,0,,,,
8967,LAW 202,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
8968,MGS 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,16,41,34.2,3,156,0,,,,
8969,MGS 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,16,Validated,,,,,,,,
8970,MGS 202,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,20,45,39,3,0,0,,,,
8971,MGS 202,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8972,MGS 204,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,18,53,28.4,2,0,0,,,,
8973,MGS 204,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
8974,MGS 206,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,11,41,31.2,3,0,0,,,,
8975,MGS 206,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,11,Validated,,,,,,,,
8976,MGT 204,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,20,41,24.4,2,0,0,,,,
8977,MGT 204,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
8978,MKG 201,HIMS/04/13/0026,MANAGEMENT,200,1,2013/2014,12,48,36,3,171,0,,,,
8979,MKG 201,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,12,Validated,,,,,,,,
8980,MKGS 202,HIMS/04/13/0026,MANAGEMENT,200,2,2013/2014,12,48,36,3,0,0,,,,
8981,MKGS 202,HIMS/04/13/0026,MANAGEMENT,200,,2013/2014,12,Validated,,,,,,,,
8982,MGS 305,HIMS/04/13/0026,MANAGEMENT,300,1,2014/2015,14,,,,0,,,,,
8983,MGS 306,HIMS/04/13/0026,MANAGEMENT,300,1,2014/2015,17.5,,,,0,,,,,
8984,MGS 302,HIMS/04/13/0026,MANAGEMENT,300,1,2014/2015,4,,,,0,,,,,
8985,ACY 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,23,45,40.8,3,180,0,,,,
8986,ACY 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,23,Validated,,,,,,,,
8987,BNF 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,26,47,43.8,3,204,0,,,,
8988,BNF 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,26,Validated,,,,,,,,
8989,CSC 202,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,5,47.5,21,2,0,0,,,,
8990,CSC 202,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,5,Validated,,,,,,,,
8991,ECN 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,16,38,32.4,3,219,0,,,,
8992,ECN 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,16,Validated,,,,,,,,
8993,ECN 203,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,29,65,56.4,3,162,0,,,,
8994,ECN 203,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,29,Validated,,,,,,,,
8995,ECN 206,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,14,37,30.6,3,0,0,,,,
8996,ECN 206,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
8997,ENG 101,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,17,37,21.6,2,188,0,,,,
8998,ENG 101,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,17,Validated,,,,,,,,
8999,FRE 101,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,18,47,26,2,108,0,,,,
9000,FRE 101,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
9001,INS 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,14,47,36.6,3,195,0,,,,
9002,INS 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
9003,LAW 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,23,35,11.6,1,61,0,,,,
9004,LAW 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,23,Validated,,,,,,,,
9005,LAW 202,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,18,54,14.4,1,0,0,,,,
9006,LAW 202,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,18,Validated,,,,,,,,
9007,MGS 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,15,36,30.6,3,174,0,,,,
9008,MGS 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
9009,MGS 202,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,5,52,34.2,3,0,0,,,,
9010,MGS 202,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,5,Validated,,,,,,,,
9011,MGS 204,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,14,40,21.6,2,0,0,,,,
9012,MGS 204,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
9013,MGS 206,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,6,41,28.2,3,0,0,,,,
9014,MGS 206,HIMS/04/13/0028,MANAGEMENT,200,3,2013/2014,6,39,21,3,,,,,,
9015,MGT 204,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,20,37,22.8,2,0,0,,,,
9016,MGT 204,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,20,Validated,,,,,,,,
9017,MKG 201,HIMS/04/13/0028,MANAGEMENT,200,1,2013/2014,14,55,41.4,3,153,0,,,,
9018,MKG 201,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,14,Validated,,,,,,,,
9019,MKGS 202,HIMS/04/13/0028,MANAGEMENT,200,2,2013/2014,15,46,36.6,3,0,0,,,,
9020,MKGS 202,HIMS/04/13/0028,MANAGEMENT,200,,2013/2014,15,Validated,,,,,,,,
9021,MGS 305,HIMS/04/13/0028,MANAGEMENT,300,1,2014/2015,16,,,,0,,,,,
9022,MGS 306,HIMS/04/13/0028,MANAGEMENT,300,1,2014/2015,15,,,,0,,,,,
9023,MGS 302,HIMS/04/13/0028,MANAGEMENT,300,1,2014/2015,16,,,,0,,,,,
9024,ACY 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,12,19,18.6,3,183,0,,,,
9025,ACY 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,12,32,17.4,3,,,,,,
9026,BNF 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,18,25,25.8,3,93,0,,,,
9027,BNF 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,18,,10.8,3,,,,,,
9028,CSC 202,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,15,21,14.4,2,0,0,,,,
9029,CSC 202,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,15,50,26,2,,,,,,
9030,ECN 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,3,39,25.2,3,129,0,,,,
9031,ECN 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,3,28,18.6,3,,,,,,
9032,ECN 203,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,6,22,16.8,3,126,0,,,,
9033,ECN 203,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,6,,3.6,3,,,,,,
9034,ECN 206,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,17,,10.2,3,0,0,,,,
9035,ECN 206,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,17,14,12.6,3,,,,,,
9036,ENG 101,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,20,28,19.2,2,56,0,,,,
9037,ENG 101,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,20,52,26.8,2,,,,,,
9038,FRE 101,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,15,18,13.2,2,96,0,,,,
9039,FRE 101,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,15,60,28,2,,,,,,
9040,INS 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,10,27,22.2,3,99,0,,,,
9041,INS 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,10,48,28.8,3,,,,,,
9042,LAW 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,10,34,8.8,1,37,0,,,,
9043,LAW 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,10,18,3.6,1,,,,,,
9044,LAW 202,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,18,0,3.6,1,0,0,,,,
9045,LAW 202,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,18,20,5.6,1,,,,,,
9046,MGS 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,13,22,21,3,132,0,,,,
9047,MGS 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,13,20,16.8,3,,,,,,
9048,MGS 202,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,4,43,28.2,3,0,0,,,,
9049,MGS 202,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,4,42,24.6,3,,,,,,
9050,MGS 204,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,19,42,24.4,2,0,0,,,,
9051,MGS 204,HIMS/04/13/0032,MANAGEMENT,200,,2013/2014,19,Validated,,,,,,,,
9052,MGS 206,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,0,,0,3,0,0,,,,
9053,MGS 206,HIMS/04/13/0032,MANAGEMENT,200,Not Eligible,2013/2014,0,Not Eligible,,,,,,,,
9054,MGT 204,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,12,37,19.6,2,0,0,,,,
9055,MGT 204,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,12,,4.8,2,,,,,,
9056,MKG 201,HIMS/04/13/0032,MANAGEMENT,200,1,2013/2014,12,25,22.2,3,105,0,,,,
9057,MKG 201,HIMS/04/13/0032,MANAGEMENT,200,3,2013/2014,12,25,19.2,3,,,,,,
9058,MKGS 202,HIMS/04/13/0032,MANAGEMENT,200,2,2013/2014,10,44,32.4,3,0,0,,,,
9059,MKGS 202,HIMS/04/13/0032,MANAGEMENT,200,,2013/2014,10,Validated,,,,,,,,
9060,MGS 305,HIMS/04/13/0032,MANAGEMENT,300,1,2014/2015,19,,,,0,,,,,
9061,MGS 306,HIMS/04/13/0032,MANAGEMENT,300,1,2014/2015,13,,,,0,,,,,
9062,MGS 302,HIMS/04/13/0032,MANAGEMENT,300,1,2014/2015,1,,,,0,,,,,
9063,ACY 201,HIMS/04/13/0034,MANAGEMENT,200,1,2013/2014,11,22,19.8,3,162,0,,,,
9064,ACY 201,HIMS/04/13/0034,MANAGEMENT,200,3,2013/2014,11,20,9.6,3,,,,,,
9065,BNF 201,HIMS/04/13/0034,MANAGEMENT,200,1,2013/2014,21,36,34.2,3,99,0,,,,
9066,BNF 201,HIMS/04/13/0034,MANAGEMENT,200,,2013/2014,21,Validated,,,,,,,,
9067,CSC 202,HIMS/04/13/0034,MANAGEMENT,200,2,2013/2014,22,43,26,2,0,0,,,,
9068,CSC 202,HIMS/04/13/0034,MANAGEMENT,200,,2013/2014,22,Validated,,,,,,,,
9069,ECN 201,HIMS/04/13/0034,MANAGEMENT,200,1,2013/2014,10,40,30,3,171,0,,,,
9070,ECN 201,HIMS/04/13/0034,MANAGEMENT,200,,2013/2014,10,Validated,,,,,,,,
9071,ECN 203,HIMS/04/13/0034,MANAGEMENT,200,1,2013/2014,17,21,22.8,3,150,0,,,,
9072,ECN 203,HIMS/04/13/0034,MANAGEMENT,200,3,2013/2014,17,40,25.2,3,,,,,,
9073,ECN 206,HIMS/04/13/0034,MANAGEMENT,200,2,2013/2014,13,16,17.4,3,0,0,,,,
9074,ECN 206,HIMS/04/13/0034,MANAGEMENT,200,3,2013/2014,13,22,15,3,,,,,,
9075,ENG 101,HIMS/04/13/0034,MANAGEMENT,200,1,2013/2014,19,47,26.4,2,76,0,,,,
